@relation converted_data
@attribute a01 numeric
@attribute a02 numeric
@attribute a03 numeric
@attribute a04 numeric
@attribute a05 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a08 numeric
@attribute a09 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}
@data
0.05,1.66,15.51,45.69,77.44,467.98,235.89,0.03,0.17,9.77,38.01,109.91,100.82,0.19,4.21,20.48,44.72,249.42,395.85,0.03,3.67,35.33,46.49,87.41,0.56,6.36,51.86,44.66,364.58,0.61,16.16,46.2,44.31,1,27.89,183.38,43.68,3.25,31.56,17.96,6.36,146.05,368.09,8.69,29.69,44.97,516.98,0
0.03,1,9.93,43.91,106.2,453.1,264.8,0.02,0.91,7.65,19.71,24.5,46.07,0.12,2.65,17.86,9.76,188.68,448.4,0.11,2.3,11.14,23.72,28.16,0.35,5.3,38.82,123.76,397,0.34,4.19,20.16,11.68,0.83,24.57,256.23,9.23,0.77,10.63,8.52,5.92,185.26,469.34,2.6,9.09,55.08,628.2,0
0.16,0.81,31.51,127.09,115.63,489.91,82.15,0.3,2.06,32.67,86.67,79.19,22.89,0.1,9.4,74.5,45.95,254.77,243.66,0.25,11.63,64.28,66.18,75.47,1.34,27.09,33.59,107,331.41,1.91,27.66,41.66,68.47,4.67,17.49,283.83,86.51,5.47,17.98,9.03,3.95,220.31,366.51,3.92,33.28,67.86,581.09,0
0.01,0.3,3.92,31.1,114.97,439.13,221.64,0.02,0.45,6.3,28.87,19.74,91.08,0.04,0.96,11.66,29.77,183.64,404.65,0.05,2.12,26.06,48.17,71.13,0.12,3.24,38.62,114.98,367.47,0.34,11.69,62.46,41.63,0.49,23.41,245.66,5.03,2.32,36.78,40.41,5.58,178.35,450.79,9.33,35.66,53.11,603.49,0
0.07,1.81,15.93,66.29,159.83,494.72,193.65,0.09,1.99,7.99,45.65,29.81,46.08,0.22,4.46,28.7,46.62,261.33,399.31,0.26,2.9,34.02,69.57,7.69,0.61,8.44,26.82,55.94,421.85,0.49,14.53,72.78,26.18,1.26,19.15,221.2,103.52,2.85,41.46,23.48,4.93,174.95,356.75,10.5,20.59,53.88,547.25,0
0,0.15,4.27,33.15,131.15,458.48,264.65,0.06,1.19,2.48,25.7,85.83,89.75,0.02,1.15,14.9,37.18,217.55,462.42,0.15,0.91,10.05,55.01,56.41,0.16,4.91,33.78,73.15,406,0.15,2.62,27.97,24.82,0.82,21.01,207.38,15.02,0.35,10.22,18.39,5.09,156.07,455.24,1.99,15.52,46.97,607.71,0
0.02,1.07,12.05,45.38,72.96,323.8,256.02,0.03,1.2,10.47,26.92,87.84,86.33,0.12,3.13,19.39,20.43,51.6,399.84,0.14,2.93,9.17,58.73,68.27,0.4,5.56,26.94,195.61,307.76,0.41,2.06,32.69,41.95,0.8,15.23,263.83,58.2,0.25,13.47,19.59,3.5,169.99,460.25,2.91,11.64,47.99,566.08,0
0.01,0.75,8.15,55.98,177.77,524.71,125.86,0,1.82,19.99,22.01,16.89,14.47,0.09,2.37,25.51,71.71,329.03,451.55,0.23,6.44,19.35,11.37,18.23,0.33,7.61,20.61,10.83,557.58,0.99,8.71,15.27,17.74,1.13,11.57,177.06,249.8,1.74,10.05,5.78,3.24,155.35,255.87,2.72,12.08,49.41,501.63,0
0.02,0.45,6.66,33.3,108.66,475.35,227.26,0.04,0.85,1.45,21.64,29.64,43.1,0.05,1.67,12.34,13.12,251.56,395.52,0.09,0.46,19.45,26.55,39.81,0.21,3.52,35.78,31.36,374.79,0.09,8.64,42.08,12.71,0.55,22.6,174.94,69.04,1.7,25.78,19.5,5.42,139.53,327.03,6.62,23.58,42.84,475.04,0
0.04,0.29,16.56,89.51,129.75,466.05,183.35,0.05,1.91,13.32,36.87,74.34,82.91,0.03,4.45,42.12,38.82,213.59,379.81,0.24,4.26,24.31,55.28,82.2,0.59,13.01,13.92,97.08,386.79,0.65,10.1,45.13,56.8,1.99,10.74,240.77,56.6,1.95,25,33.2,2.84,179.21,400.17,6.33,23.19,53.87,574.38,0
0.04,1.38,11.79,34.56,105.77,473.48,241.99,0.04,1.01,3.82,10.04,17.43,32.04,0.16,3.11,12.14,4.66,225.28,452.95,0.13,1.29,5.01,23.35,22.35,0.4,2.86,31.48,79.11,433.33,0.2,1.72,19.81,2.86,0.35,20.31,206.2,94.85,0.3,10.11,13.9,4.88,154.23,337.92,2.41,15.73,46.28,500.4,0
0.05,1.8,18.71,64.74,72.89,461.55,360.66,0,0.43,4.63,16.87,23.27,57.31,0.21,5.51,40.9,87.01,223.18,561.49,0.05,1.57,12.78,23.09,41.76,0.78,15.26,88.99,75.75,489.82,0.25,5.46,23.73,21.64,2.65,45.61,216.7,81.1,1.07,13.8,7.83,10.22,165.52,409.85,3.54,12.22,50.32,584.07,0
0.03,1.3,16.42,57.2,82.16,477.35,236.6,0.06,1.68,9.58,37.66,79.2,148.17,0.15,4.56,27.28,17.02,228.24,467.84,0.21,2.59,24,32.7,118.86,0.61,8.49,34.98,94.97,471.15,0.35,10.22,48.11,52.23,1.31,21.03,250.93,98.69,2.02,31.9,15.21,4.98,189.44,412.67,8.55,29.03,57.34,613.96,0
0.03,0.86,7.91,28.54,76.47,467.99,240.05,0.03,0.71,1.62,15.82,54.51,117.34,0.1,1.96,7.21,26.52,210.68,452.66,0.09,0.65,7,26.27,79.2,0.24,0.82,51.21,110.1,430.15,0.11,2.49,11.87,42.49,0.06,29.16,245.55,65.57,0.47,7.05,39.3,6.76,180.36,404.09,2.04,34.58,53.93,575.37,0
0.05,2.27,28.95,87,129.59,506.69,147.23,0.17,4.06,15.37,14.88,22.9,42.4,0.28,8.56,45.93,24.01,255.49,355.59,0.53,4.73,21.11,41.48,45.18,1.21,15.66,36.75,102.09,420.93,0.72,11.35,65.12,28.21,2.59,24.52,285.62,118.52,2.49,42.09,29.25,6.07,220.93,376.42,11.29,32.67,67.85,599.64,0
0.05,1.76,17.15,41.59,97.3,473.48,227.79,0.1,1.59,8.08,40.16,42.99,55.21,0.21,4.74,20.99,38.85,221.05,424.59,0.2,2.61,23.93,5.42,56.57,0.64,7.27,59.43,104.81,418.09,0.4,9.38,18.02,37.87,1.23,33.8,255.39,71.32,1.77,14.16,24.87,7.88,191.6,400.36,4.03,24.45,57.94,582.19,0
0.04,0.33,12.03,89.69,185.86,513.72,218.45,0.05,1.42,9.27,12.99,39.41,61.69,0.04,3.41,46.25,104.12,315.31,507.45,0.18,2.83,8.98,23.34,60.72,0.47,15.27,59.22,36.64,541.94,0.42,3.56,12.04,55.65,2.45,26.82,169.79,170,0.66,5.92,45.52,5.93,146.58,358.57,1.55,29.79,46.38,581.89,0
0.1,3.29,27.21,57.41,111.86,493.5,156.3,0.16,2.29,11.58,46.32,25.58,85.94,0.4,7.87,29.41,18.46,264.06,369.69,0.31,4.29,34.04,39.82,54.38,1.1,10.35,57.66,66.17,427.67,0.72,14.61,41.07,36.44,1.78,35.35,243.32,147.75,2.88,24.07,22.62,8.49,193.13,299.79,6.25,10.9,59.77,505.65,0
0.04,1.35,23.5,108.8,149.5,480.41,159.02,0.01,1.23,10.08,19.43,53.05,68.08,0.16,6.41,52.28,57.46,236.34,384.62,0.15,3.19,11,36.74,34.35,0.85,16.41,13.84,74.18,417.04,0.48,4.11,23.39,18.49,2.54,6.78,215.45,109.19,0.75,10.97,33.3,1.97,163.92,333.63,2.56,29.81,49.59,515.52,0
0.03,1.8,21.9,75.81,144.11,514.14,253.24,0.09,2.52,19.03,48.26,35.91,46.05,0.22,6.56,40.07,41.39,308.05,477.53,0.32,5.94,31.46,24.95,79.06,0.94,13.78,44.11,48,499.03,0.89,12.3,32.34,56.26,2.3,28.12,221.45,138.72,2.27,20.78,7.37,6.93,184.45,388.27,5.55,22.29,58.06,613.97,0
0.02,0.72,9.27,49.19,129.82,452.84,174.71,0.01,0.44,3.37,22.81,55.31,85.99,0.08,2.4,18.93,18.62,210.69,346.97,0.05,0.52,17.13,41.63,55.17,0.31,5.17,29.24,87.95,325.31,0.03,7.45,47.05,47.83,0.75,20.64,227.51,10.19,1.47,27.8,65.19,5.14,170.32,444.62,7.09,51.88,51.3,590.63,0
0.03,1.1,13.41,38.51,59.86,391.96,269.41,0.02,0.38,5.93,17.56,12.27,17.04,0.13,3.58,20.78,45.3,120.84,423.86,0.04,1.68,10.81,13.57,15,0.47,7.31,58.98,162.86,359.38,0.23,4.11,12.06,15.65,1.23,31.05,261.4,9.17,0.75,6.46,10.73,6.95,177.9,404.46,1.58,5.92,51.53,536.51,0
0.01,0.83,13.05,33.71,52.92,370.46,255.77,0.02,0.13,9.2,34.7,28.16,62.71,0.09,3.37,14.14,62.46,86.38,417.77,0.01,2.59,19.84,11.85,57.18,0.43,3.98,56.95,204.18,350.52,0.36,7.28,0.56,43.23,0.57,27.2,287.31,9.33,1.3,2.26,28.21,5.82,188.38,429.36,0.87,14.49,53.66,557.77,0
0.02,0.81,11.08,46.12,35.03,237.75,261.92,0.06,1.18,9.26,38.35,53.22,82.85,0.1,3.21,30.15,108.77,30.05,321.07,0.15,2.84,21.58,34.02,78.96,0.45,11.2,95.79,264.68,176.16,0.42,7.81,25.63,38.56,1.92,45.21,316.8,196.49,1.38,13.57,6.43,9.67,198.98,573.11,3.33,18.34,55.82,638.3,0
0.03,0.78,5.81,42.09,49.75,349.46,255.93,0.04,1.4,12.97,43.94,58.03,51.97,0.09,1.51,25.5,101.24,110.66,353.88,0.17,3.8,24.93,34.99,58.8,0.2,9.27,94.51,146.47,294.59,0.54,9.22,26.67,46.66,1.57,45.64,246.1,3.25,1.66,15.6,11.86,9.86,170.51,348.6,4.1,9.96,49.89,464.52,0
0.07,1.85,16.12,72.18,141.96,494.75,171.41,0.05,0.28,9.62,34.77,44.01,33.11,0.23,4.82,39.91,61.57,240.32,383,0.02,3.21,27.34,32.26,54.17,0.69,14.04,65.73,97.55,400.13,0.51,11.84,33.47,52.72,2.37,37.43,260.47,62.63,2.33,20.6,31.74,8.84,199,418.25,5.44,13.77,60.69,607.42,0
0.03,0.33,4.81,24.73,60.71,424.99,232.32,0.06,1.59,5.05,16.37,74.49,129.46,0.04,1.24,8.41,30.44,160.17,413.74,0.19,1.36,21.67,14.29,126.64,0.16,1.85,49.32,144.42,381.89,0.2,10.63,48.23,83.64,0.2,27.27,271.38,22.66,2.18,33.04,46.96,6.25,192.85,437.88,8.87,34.33,57.01,598.58,0
0.02,1.12,16.58,91.4,176.54,476.06,156.41,0.04,1.14,6.17,18.46,31.9,72.74,0.13,4.5,41.84,74.54,241.54,383.1,0.14,1.78,9.58,18.61,43.61,0.6,12.64,20.53,54.31,415.75,0.25,3.27,15,19.32,1.9,6.47,199.8,111.99,0.55,8.5,19.26,1.74,154.78,323.57,2.16,17.02,47.08,502.57,0
0.01,0.63,9.2,45.3,107.76,465.81,200.8,0.07,1.84,7.92,20.06,30.69,28.7,0.07,2.47,20.4,31.73,209.03,400.47,0.23,2.47,8.46,39.65,19.11,0.33,6.63,51.91,105.55,404.27,0.38,3.43,38.5,27.83,1.09,30.36,251.44,76.46,0.72,21.17,33.68,7.14,186.47,373.85,5.24,25.31,56.04,548.88,0
0.03,1.12,12.53,54.97,118.36,369.3,200.79,0.03,1.05,7.45,26.02,25.81,53.99,0.13,3.25,26.61,84.67,132.02,290.03,0.13,2.25,15.07,28.83,30.55,0.42,8.69,69.36,117.06,209.58,0.33,5.5,22.92,17.37,1.4,33.34,214.95,97.47,0.97,11.29,9.79,7.23,150.38,440.86,2.63,3.56,44.02,525.56,0
0.07,2.05,14.09,38.01,71.99,465.38,235.95,0.1,2.28,15.14,32.04,20.08,28.1,0.24,3.92,24.41,65.69,238.13,369.05,0.3,5.02,24.62,9.38,32.59,0.53,9.39,85.4,66.49,348.83,0.79,10.72,23.88,38.22,1.66,45.77,222.92,50.86,2.13,17.47,23.36,10.41,174.27,353.37,4.94,20.39,53.54,509.33,0
0.02,0.95,11.61,35.66,46.99,325.19,323.76,0.01,0.93,11.64,37.57,27.43,19.91,0.1,2.99,17.12,49.11,46.2,428.73,0.11,3.35,20.4,24.34,35.42,0.38,5.46,46.46,191.16,280.41,0.47,7.22,15.9,38.39,0.86,22.4,251.16,114.61,1.26,7.04,29.2,4.8,159.6,506.96,1.56,15.35,44.7,587.36,0
0.03,1.06,14.65,73.29,147.16,436.79,295.27,0.03,0.29,0.97,22.05,29.6,72.23,0.12,3.86,35.2,92.25,219.99,434.18,0.03,0.14,7.27,27.09,26.29,0.5,11.18,63.71,38.66,356.38,0.05,1.89,20.31,37.28,1.76,29.65,164.63,7.07,0.33,10.04,64.42,6.42,128.47,396.06,2.38,50.72,39.12,522.31,0
0.04,1.92,18.4,56.03,153.26,489.38,187.53,0.12,2.74,16.55,13.46,63.29,123.78,0.23,5.19,23.18,23.82,292.08,371.85,0.35,5.08,7.08,15.23,84.01,0.71,6.99,29.83,29.68,396.29,0.77,4.9,30.74,31.93,1.11,23.58,201.51,90.17,1.19,22.56,24.82,6.1,168.86,363.39,6.29,30.93,53.16,553.03,0
0.02,0.66,7.98,34.6,22.52,423.24,314.85,0.08,2.53,17.96,30.02,65.28,50.6,0.08,2.16,20.95,97.23,152.9,446.18,0.32,5.57,16.71,58.89,59.69,0.29,7.75,94.04,153.69,369.17,0.83,5.95,41.41,28.7,1.34,46.2,282.21,10.07,1.03,19.54,34.9,10.1,200.31,468.43,4.51,43.14,59.28,617.37,0
0.04,2.58,31.28,94.17,142.84,480,70.77,0.13,2.48,21.79,71.16,90.61,182.8,0.31,9.07,47.37,32.63,273.1,311.6,0.34,7.55,47.17,74.06,104.71,1.27,15.68,25.94,56.28,412.11,1.21,19.13,49.71,44.33,2.55,20.2,240.11,145.11,3.65,23.12,26.79,5.27,194.15,322.21,5.38,19.98,60.53,543.36,0
0.04,2.65,32.11,87.61,120.89,434.2,137.4,0.18,3.34,10.79,41.75,45.45,32.2,0.32,9.3,44.91,16.13,183.71,298.89,0.43,3.67,37.27,68.79,22.24,1.3,15.08,37.94,141.86,327.75,0.61,17.32,76.55,13.86,2.48,24.66,295.18,32.19,3.56,45.79,15.03,6.02,217.36,416.98,11.94,21.93,65.51,597.94,0
0.02,0.45,17.24,108.76,191.08,472.42,93.31,0.04,0.72,15.85,29.6,26.86,57.01,0.06,4.88,52.83,91.6,211.36,325.02,0.1,4.99,21.27,25.71,41.96,0.66,16.69,29.44,102.6,366.71,0.75,8.83,20.27,43.83,2.6,5.26,244.52,49.98,1.69,10.43,54.65,0.35,180.52,410.46,2.53,44.55,54.05,588.27,0
0.05,1.25,14.49,61.84,94.7,386.45,284,0.02,0.64,5.38,23.23,45.94,92.03,0.15,3.99,32.6,55.78,147.38,415.59,0.07,1.48,10.37,22.05,58.82,0.54,11.12,57.42,112.56,336.15,0.2,3.33,13.8,25.91,1.83,30,213.91,6.17,0.56,7.29,21.67,6.75,151.04,397.65,1.8,18.52,44.39,516.64,0
0.03,0.65,9.52,47.14,124.17,455.66,317.1,0.05,0.71,5.42,31.8,38.27,23.99,0.08,2.85,29.89,96.81,238.39,565.13,0.08,1.62,20.88,31.3,58.6,0.4,11.07,78.09,61.77,516.57,0.24,8.28,26.3,74.5,1.9,38,187.58,107.5,1.54,15,55.38,8.37,146.28,391.76,3.88,25.99,44.73,573.27,0
0.04,0.88,5.76,44.37,28.28,346.93,159.76,0.08,2.43,18.75,37.42,21.41,27.43,0.1,1.89,31.77,128.36,109.96,232.42,0.31,6.27,29.57,22.49,24.95,0.29,12.28,117.9,158.28,202.49,0.98,12.93,30.62,16.33,2.15,56.74,264.2,37.78,2.56,19.53,26.07,12.27,184.46,353.42,5.22,26.3,54.32,458.22,0
0.04,1.96,22.29,63.59,131.83,525.97,230.86,0.06,1.14,3.96,19.1,50.19,47.78,0.23,6.19,30.66,42.1,322.89,476.15,0.14,1.1,15.01,52.54,47.06,0.84,9.9,45.12,39.77,506.31,0.17,6.87,42.89,49.84,1.59,27.35,196.07,156.86,1.41,22.89,37.41,6.6,167.07,352.12,5.72,22.3,52.82,571.65,0
0.02,0.61,3.83,3.58,13.45,348.16,404.58,0.02,0.48,11.47,54.53,27.18,59.17,0.07,1.03,5.07,70.93,79.54,566.93,0.07,3.71,37.01,65.75,30.21,0.14,2.31,64.2,174.39,454,0.57,14.71,63.36,8.22,0.43,30.37,254.67,48.87,2.73,33.78,34.22,6.47,168.23,394.44,8.18,32.07,48.05,533.71,0
0.01,0.21,2.96,8.07,56.68,412.14,342.45,0.08,2.61,18.94,30.09,92.16,115.8,0.03,0.75,6.51,34.39,169.53,551.7,0.32,5.62,14.41,36.27,149.78,0.09,2.81,50.54,112.2,486.84,0.81,4.59,15.85,119.49,0.53,27.7,234.32,79.74,0.73,12.17,48.36,6.34,169.33,409.94,3.63,8.96,50.32,582.24,0
0.02,1.05,13.43,42.78,51.61,456.95,290.41,0.02,1.42,19.6,75.83,63.2,102.79,0.12,3.57,19.58,41.49,197.12,474.22,0.18,6.08,46.1,60.78,82.4,0.47,6.12,52.66,97.42,409.06,0.91,17.53,47.85,50.55,0.96,27.88,227.21,21.78,3.19,24.52,23.48,6.28,166.36,440.64,5.93,15.88,49.6,592.1,0
0.03,1.53,17.04,44.36,96.66,486.94,212.11,0.09,1.41,9.74,47.6,56.72,45.83,0.18,4.64,17.57,26.84,246.15,381.54,0.16,3.03,34.98,74.57,45.26,0.62,4.78,52.56,82.1,386.12,0.46,14.85,69.64,21.01,0.67,30.63,242.09,70.31,2.89,38.06,9.57,7.18,186.74,377.17,9.45,17.74,57.05,555.73,0
0.02,0.56,1,26.5,90.55,450.53,213.72,0.01,0.43,5.07,16.47,42.65,61.01,0.06,0.41,9.28,48.39,175.12,401.12,0.05,1.54,9.85,23.83,82.71,0.08,3.05,52.31,120.62,358.02,0.23,3.71,7.86,64.83,0.56,27.82,241.33,3.12,0.67,2.65,27.95,6.3,171.62,429.37,0.87,3.32,50.55,568.84,0
0.01,0.89,15.67,55.9,106.62,487.71,179.41,0.15,3.47,13.85,37.6,66.47,53.05,0.11,4.51,26.13,5.56,256.42,342.09,0.43,3.69,30.41,36.99,75.75,0.62,8.13,40.64,83.22,369.96,0.5,13.94,59.29,53.06,1.26,25.73,249.11,73.74,2.83,39.12,19.28,6.21,194.53,376.92,10.51,19.33,59.83,566.24,0
0.06,1.27,30.19,103.96,92.21,499.08,202.95,0.12,3.17,10.97,2.46,66.38,91.94,0.15,8.5,54.76,26.15,253.71,424.82,0.4,3.14,11.08,5.58,90.78,1.16,18.42,27.32,69.13,452.69,0.44,6.7,33.34,57.51,3,16.21,231.06,126.59,1.51,25.39,17.07,3.83,179.13,348.14,7.15,9.94,54.71,548.94,0
0.02,1.07,15.41,60.9,102.19,363.37,166.54,0.05,0.17,14.99,76.9,126.77,204.95,0.13,4.52,31.95,79.37,183.52,305.95,0.02,5.15,58.27,105,167.18,0.63,10.57,53.24,99.84,293.16,0.82,24.91,107.78,72.91,1.69,23.33,193.06,17.16,4.84,62.37,46.85,4.87,142.72,352.13,15.85,56.56,42.99,485.75,0
0.08,1.95,11.34,17.34,72.47,432.12,181.02,0.12,2.43,11.05,7.72,92.85,105.71,0.23,3.06,11.23,58.87,219.2,296.84,0.33,4.52,18.41,31.73,60.48,0.42,5.71,80.38,73.93,289.23,0.8,10.71,28.22,34,1.17,44.01,225.95,20.29,2.4,22.88,23.11,10.14,175.87,358.79,6.74,22.74,54.07,504.21,0
0.06,2.3,17.91,24.52,65.54,392.13,116.75,0.05,0.75,12.54,39.59,13.69,16.4,0.27,4.91,13.76,68.39,153.23,226.98,0.11,4.54,32.83,32.27,6.57,0.66,6.21,90.37,153.85,241.51,0.75,14.7,43.19,8.73,1.22,48.52,290.99,6.03,2.95,27.18,17.39,11.05,210.71,377.68,7.24,21.64,63.13,520.83,0
0.02,0.22,7.05,59.72,87.25,425.39,306.29,0.03,0.65,3.73,34.03,16.18,43.72,0.02,1.85,27.87,29.18,144.35,542.61,0.07,1.15,21.24,11.13,45.52,0.24,8.5,13.03,128.11,479.62,0.17,8.01,13.87,57.24,1.29,7.83,225.36,74.93,1.44,8.21,57.08,1.94,154.18,396.27,2.08,37.73,44.52,554.07,0
0.02,0.79,10.23,57.31,113.27,526.32,204.53,0.02,0.8,5.78,9.84,44.01,79.74,0.1,2.96,27.77,24.68,294.05,489.45,0.09,1.42,4.99,10.61,81.73,0.41,8.95,29.65,32.78,529.74,0.18,3.19,31.18,57.38,1.43,20.11,200.15,177.66,0.74,21.03,33.98,5.01,163.1,328.77,5.61,22.86,50.59,546.82,0
0.15,3.56,23.79,53.01,29.69,418.45,98.32,0.04,0.3,4.21,19.88,17.87,5.78,0.44,7.42,43.02,115.19,204.66,201.93,0.05,1.7,14.95,21.55,17.98,1.09,18.01,128.01,108.43,251.13,0.3,6.62,22.97,22.59,3.34,66.93,265.33,60.14,1.34,13.95,10.48,15.19,203.86,277.57,3.71,5.21,62.71,434.47,0
0.06,1.9,20.62,93.78,184.12,526.62,128.84,0.07,2.18,15.22,26.05,56.22,77.58,0.24,6.02,44.28,69.19,302.31,378.75,0.28,4.89,16.81,32.81,50.8,0.84,13.93,30.51,45.74,458.57,0.75,6.86,10.82,27.45,2.18,19.62,241.79,141.75,1.33,2.84,13.01,5.15,197.94,374.62,1.05,5.92,61.9,607.74,0
0.08,2,22.1,64.78,58.52,354.6,105.71,0.12,1.97,17.45,48.86,81.65,61.22,0.25,6.6,41.8,84.15,127.15,186.9,0.26,5.38,24.19,45.88,92.86,0.94,16.05,92.79,151.93,152.9,0.81,8,21.52,62.09,2.84,48.49,273.45,124.37,1.34,10.65,47.13,10.98,195.77,486.69,2.94,52,58.4,591.5,0
0.06,1.71,24.05,68.69,116.21,493.88,213.43,0.21,3.86,18.46,23.08,96.18,65.87,0.22,7.38,39.23,15.31,291.45,431.73,0.51,6.19,34.2,22.84,70.78,1.07,14.14,25.85,51.43,483.7,1,18.81,76.85,20.83,2.44,19.27,222.78,170.96,4.14,55.36,41.25,4.92,183.84,324.73,15.4,54.79,57.75,554.89,0
